"REF_DATE","GEO","DGUID","Zero-Emission Vehicles Fuel Type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-07","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","16","","","","0"
"2017-10","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","12","","","","0"
"2018-01","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","15","","","","0"
"2018-04","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","49","","","","0"
"2018-07","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","40","","","","0"
"2018-10","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","55","","","","0"
"2019-01","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","26","","","","0"
"2019-04","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","96","","","","0"
"2019-07","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","98","","","","0"
"2019-10","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","69","","","","0"
"2020-01","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","64","","","","0"
"2020-04","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","65","","","","0"
"2020-07","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","101","","","","0"
"2020-10","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","81","","","","0"
"2021-01","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","99","","","","0"
"2021-04","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","154","","","","0"
"2021-07","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","194","","","","0"
"2021-10","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","183","","","","0"
"2022-01","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","201","","","","0"
"2022-04","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","233","","","","0"
"2022-07","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","314","","","","0"
"2022-10","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","298","","","","0"
"2023-01","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","262","","","","0"
"2023-04","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","383","","","","0"
"2023-07","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","577","","","","0"
"2023-10","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","376","","","","0"
"2024-01","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","460","","","","0"
"2024-04","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","736","","","","0"
"2024-07","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","866","","","","0"
"2024-10","Manitoba","2016A000246","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482691","2821.1.1.1","889","","","","0"
"2017-01","Saskatchewan","2016A000247","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482928","3058.1.1.1","8","","","","0"
"2017-04","Saskatchewan","2016A000247","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482928","3058.1.1.1","7","","","","0"
"2017-07","Saskatchewan","2016A000247","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482928","3058.1.1.1","10","","","","0"
"2017-10","Saskatchewan","2016A000247","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482928","3058.1.1.1","7","","","","0"
"2018-01","Saskatchewan","2016A000247","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482928","3058.1.1.1","11","","","","0"
"2018-04","Saskatchewan","2016A000247","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277482928","3058.1.1.1","24","","","","0"
